CustomerID,Gender,Age,Partner,Dependents,TenureYears,ContractType,PaymentMethod,InternetService,MonthlyCharges,TotalCharges,TechSupport,PaperlessBilling,Churn
CUST00001,Male,36,Yes,No,2.9,Month-to-Month,Credit Card,Fiber Optic,75.44,2639.38,No,Yes,No
CUST00002,Female,55,Yes,Yes,3.4,Month-to-Month,Mailed Check,No,31.51,1358.45,No,No,Yes
CUST00003,Male,20,Yes,No,2.0,Two Year,Mailed Check,Fiber Optic,87.59,2309.98,No,No,No
CUST00004,Male,22,No,No,0.1,Month-to-Month,Electronic Check,No,20.0,65.91,Yes,Yes,No
CUST00005,Male,30,No,Yes,3.2,Month-to-Month,Bank Transfer,DSL,46.93,1706.0,No,No,No
CUST00006,Female,64,Yes,No,5.5,Month-to-Month,Electronic Check,Fiber Optic,70.53,4715.34,No,Yes,No
CUST00007,Male,63,No,No,3.8,Month-to-Month,Bank Transfer,Fiber Optic,89.49,4163.19,No,No,Yes
CUST00008,Male,48,No,Yes,5.3,Two Year,Electronic Check,No,27.12,1820.88,No,Yes,No
CUST00009,Male,72,Yes,No,0.7,One Year,Credit Card,DSL,49.19,491.25,Yes,No,No
CUST00010,Female,33,No,No,6.6,One Year,Electronic Check,Fiber Optic,101.51,7912.64,No,Yes,No
CUST00011,Male,67,No,No,1.2,Month-to-Month,Electronic Check,DSL,40.58,553.42,No,Yes,No
CUST00012,Male,49,Yes,No,0.0,Two Year,Credit Card,Fiber Optic,95.28,0.0,No,No,Yes
CUST00013,Male,39,Yes,No,5.6,One Year,Mailed Check,No,15.0,1005.69,Yes,No,No
CUST00014,Male,46,No,Yes,8.5,Month-to-Month,Mailed Check,DSL,50.83,5147.53,No,No,No
CUST00015,Female,39,No,No,3.2,Month-to-Month,Credit Card,No,16.41,612.99,No,No,No
CUST00016,Male,60,Yes,No,0.8,Two Year,Credit Card,No,23.44,188.47,No,No,No
CUST00017,Female,20,Yes,No,0.9,One Year,Electronic Check,DSL,50.67,703.04,No,No,Yes
CUST00018,Female,71,Yes,No,1.9,One Year,Credit Card,Fiber Optic,79.32,1382.14,Yes,Yes,Yes
CUST00019,Female,27,No,No,6.8,Month-to-Month,Credit Card,DSL,57.0,4506.59,No,Yes,Yes
CUST00020,Male,59,No,No,0.5,Month-to-Month,Bank Transfer,DSL,62.02,668.18,No,Yes,No
CUST00021,Female,38,No,No,5.2,One Year,Bank Transfer,Fiber Optic,84.09,5413.03,No,No,Yes
CUST00022,Male,33,Yes,No,1.0,One Year,Mailed Check,Fiber Optic,87.59,1104.63,No,Yes,Yes
CUST00023,Female,29,No,No,5.0,Month-to-Month,Credit Card,Fiber Optic,97.49,5848.36,No,Yes,Yes
CUST00024,Female,19,No,No,7.6,One Year,Electronic Check,DSL,49.42,4448.91,No,Yes,No
CUST00025,Female,58,Yes,No,1.7,Month-to-Month,Mailed Check,No,37.23,664.47,No,No,No
CUST00026,Female,41,Yes,Yes,1.4,One Year,Mailed Check,Fiber Optic,105.2,1844.8,No,Yes,Yes
CUST00027,Female,52,No,No,4.9,Two Year,Mailed Check,DSL,69.51,4198.55,No,Yes,No
CUST00028,Female,73,No,No,2.3,Two Year,Credit Card,Fiber Optic,98.03,2569.88,No,Yes,Yes
CUST00029,Female,47,No,No,3.5,Month-to-Month,Credit Card,DSL,60.82,2333.63,No,Yes,Yes
CUST00030,Female,74,No,No,2.9,Month-to-Month,Electronic Check,DSL,64.21,2319.84,No,Yes,Yes
CUST00031,Male,47,Yes,No,0.5,Two Year,Electronic Check,Fiber Optic,81.13,612.56,No,Yes,Yes
CUST00032,Male,64,No,Yes,5.6,One Year,Mailed Check,Fiber Optic,84.35,5808.6,Yes,Yes,No
CUST00033,Female,52,No,No,0.7,Month-to-Month,Credit Card,DSL,53.42,431.79,Yes,No,No
CUST00034,Female,36,No,No,8.1,Two Year,Electronic Check,Fiber Optic,79.69,7402.14,No,No,No
CUST00035,Female,67,No,Yes,0.9,Month-to-Month,Bank Transfer,DSL,56.17,469.02,No,Yes,Yes
CUST00036,Male,25,No,Yes,4.0,Month-to-Month,Bank Transfer,Fiber Optic,80.8,4086.33,Yes,No,No
CUST00037,Female,43,Yes,No,1.0,Month-to-Month,Mailed Check,DSL,55.5,516.07,No,No,Yes
CUST00038,Male,66,No,No,1.1,Month-to-Month,Bank Transfer,Fiber Optic,73.95,1079.72,No,No,No
CUST00039,Male,57,Yes,No,1.1,Month-to-Month,Mailed Check,DSL,50.73,566.05,No,Yes,Yes
